iter	Passed	Remaining
704	40065	16764
705	40109	16702
706	40153	16640
707	40207	16582
708	40266	16526
709	40315	16466
710	40365	16407
711	40418	16348
712	40467	16289
713	40515	16229
714	40563	16168
715	40628	16115
716	40674	16054
717	40717	15991
718	40759	15929
719	40801	15867
720	40845	15805
721	40895	15746
722	40956	15691
723	41050	15649
724	41110	15593
725	41164	15536
726	41208	15474
727	41256	15414
728	41305	15354
729	41349	15293
730	41417	15241
731	41459	15179
732	41506	15119
733	41552	15058
734	41591	14995
735	41645	14938
736	41694	14878
737	41739	14818
738	41796	14761
739	41848	14703
740	41888	14641
741	41938	14582
742	41988	14523
743	42025	14460
744	42074	14401
745	42120	14341
746	42176	14284
747	42233	14228
748	42269	14165
749	42318	14106
750	42364	14046
751	42415	13988
752	42492	13938
753	42547	13881
754	42637	13836
755	42691	13778
756	42744	13721
757	42789	13661
758	42840	13602
759	42891	13544
760	42940	13485
761	43000	13430
762	43052	13372
763	43097	13312
764	43139	13252
765	43185	13192
766	43233	13133
767	43272	13071
768	43316	13011
769	43366	12953
770	43430	12899
771	43475	12839
772	43525	12781
773	43572	12722
774	43613	12661
775	43663	12603
776	43707	12544
777	43747	12483
778	43814	12429
779	43864	12372
780	43912	12313
781	43964	12256
782	44004	12195
783	44050	12136
784	44096	12077
785	44141	12018
786	44192	11960
787	44251	11905
788	44295	11845
789	44338	11786
790	44393	11729
791	44434	11669
792	44484	11612
793	44524	11551
794	44566	11492
795	44645	11441
796	44684	11381
797	44724	11321
798	44764	11261
799	44804	11201
800	44854	11143
801	44904	11086
802	44944	11026
803	44991	10968
804	45046	10911
805	45084	10851
806	45121	10791
807	45158	10730
808	45196	10670
809	45235	10610
810	45273	10550
811	45310	10490
812	45346	10430
813	45393	10372
814	45447	10316
815	45484	10256
816	45537	10199
817	45579	10141
818	45639	10086
819	45686	10028
820	45737	9972
821	45815	9921
822	45886	9868
823	45932	9810
824	45980	9753
825	46023	9694
826	46071	9637
827	46126	9581
828	46192	9528
829	46262	9475
830	46313	9418
831	46385	9366
832	46431	9308
833	46475	9250
834	46519	9192
835	46575	9136
836	46756	9105
837	46840	9055
838	46884	8996
839	46923	8937
840	46972	8880
841	47028	8824
842	47072	8766
843	47124	8710
844	47179	8654
845	47224	8596
846	47267	8538
847	47307	8479
848	47346	8420
849	47406	8365
850	47447	8307
851	47485	8248
852	47543	8193
853	47595	8137
854	47634	8078
855	47674	8020
856	47713	7961
857	47760	7904
858	47815	7848
859	47855	7790
860	47896	7732
861	47941	7675
862	47991	7618
863	48038	7561
864	48082	7504
865	48123	7446
866	48187	7392
867	48236	7335
868	48281	7278
869	48331	7221
870	48376	7164
871	48418	7107
872	48463	7050
873	48506	6992
874	48568	6938
875	48625	6883
876	48676	6826
877	48719	6769
878	48757	6711
879	48797	6654
880	48870	6601
881	48941	6547
882	49035	6497
883	49111	6444
884	49161	6388
885	49209	6331
886	49255	6274
887	49294	6217
888	49360	6163
889	49419	6108
890	49495	6055
891	49693	6016
892	49869	5975
893	49947	5922
894	49989	5864
895	50030	5807
896	50075	5750
897	50124	5693
898	50184	5638
899	50307	5589
900	50362	5533
901	50425	5478
902	50492	5423
903	50600	5373
904	50715	5323
905	50790	5269
906	50879	5216
907	50942	5161
908	50992	5104
909	51086	5052
910	51136	4995
911	51190	4939
912	51241	4882
913	51292	4826
914	51341	4769
915	51385	4712
916	51476	4659
917	51526	4602
918	51577	4546
919	51626	4489
920	51682	4433
921	51752	4378
922	51814	4322
923	51917	4270
924	51970	4213
925	52030	4157
926	52090	4102
927	52145	4045
928	52199	3989
929	52279	3935
930	52347	3879
931	52447	3826
932	52606	3777
933	52661	3721
934	52756	3667
935	52819	3611
936	52872	3554
937	52926	3498
938	52983	3441
939	53042	3385
940	53120	3330
941	53187	3274
942	53242	3218
943	53302	3162
944	53372	3106
945	53433	3050
946	53518	2995
947	53583	2939
948	53639	2882
949	53699	2826
950	53749	2769
951	53959	2720
952	54059	2666
953	54116	2609
954	54194	2553
955	54280	2498
956	54393	2444
957	54468	2387
958	54527	2331
959	54571	2273
960	54614	2216
961	54680	2159
962	54732	2102
963	54793	2046
964	54878	1990
965	54930	1933
966	54990	1876
967	55041	1819
968	55134	1763
969	55189	1706
970	55245	1649
971	55301	1593
972	55356	1536
973	55415	1479
974	55468	1422
975	55561	1366
976	55611	1309
977	55664	1252
978	55714	1195
979	55770	1138
980	55828	1081
981	55889	1024
982	55966	967
983	56027	911
984	56081	854
985	56133	797
986	56189	740
987	56292	683
988	56368	626
989	56428	569
990	56483	512
991	56537	455
992	56590	398
993	56670	342
994	56758	285
995	56818	228
996	56871	171
997	56938	114
998	56998	57
999	57052	0
